close,co_id,date,difference_percentage,high,low,open,total_trade_count,total_trade_dollar,total_trade_stocks
33.55,1101, 99/12/08,0.55,34.05,32.8,33.0,"8,312","1,230,031,226","36,509,744"
33.15,1101, 99/12/09,-0.4,33.55,32.95,33.5,"3,697","477,729,595","14,351,247"
33.15,1101, 99/12/10,0.0,33.3,33.0,33.05,"2,193","215,835,634","6,527,648"
33.0,1101, 99/12/13,-0.15,33.35,33.0,33.1,"1,887","258,645,314","7,810,870"
32.7,1101, 99/12/14,-0.3,33.15,32.55,33.0,"2,681","348,247,227","10,613,659"
33.0,1101, 99/12/15,0.3,33.0,32.4,32.7,"2,300","224,888,185","6,890,080"
32.7,1101, 99/12/16,-0.3,33.0,32.5,33.0,"3,812","288,889,021","8,840,796"
33.0,1101, 99/12/17,0.3,33.05,32.6,32.6,"2,915","255,655,049","7,757,403"
32.65,1101, 99/12/20,-0.35,32.95,32.45,32.95,"1,747","188,498,707","5,773,504"
32.8,1101, 99/12/21,0.15,32.8,32.45,32.65,"1,789","155,353,463","4,758,624"
32.8,1101, 99/12/22,0.0,32.95,32.6,32.85,"1,871","188,482,732","5,757,242"
33.4,1101, 99/12/23,0.6,33.75,32.65,32.8,"4,976","580,465,980","17,393,851"
32.75,1101, 99/12/24,-0.65,33.0,32.65,32.85,"15,403","626,702,672","19,078,347"
32.4,1101, 99/12/27,-0.35,32.7,32.15,32.5,"6,221","476,278,071","14,742,445"
32.25,1101, 99/12/28,-0.15,32.45,32.1,32.4,"3,287","241,128,425","7,479,614"
32.45,1101, 99/12/29,0.2,32.45,32.0,32.25,"3,663","272,181,295","8,461,511"
32.45,1101, 99/12/30,0.0,32.6,32.25,32.25,"2,435","282,649,661","8,724,348"
32.8,1101, 99/12/31,0.35,32.9,32.35,32.5,"3,498","410,045,639","12,603,384"
33.0,1101, 99/11/01,+0.40,33.15,32.6,32.6,"2,714","291,244,379","8,824,628"
33.45,1101, 99/11/02,+0.45,33.5,33.0,33.2,"2,343","234,838,831","7,059,751"
34.1,1101, 99/11/03,+0.65,34.2,33.6,33.6,"5,107","570,950,161","16,767,522"
34.1,1101, 99/11/04, 0.00,34.4,33.95,34.2,"2,499","352,561,171","10,330,408"
33.9,1101, 99/11/05,-0.20,34.3,33.6,34.25,"2,387","269,564,250","7,945,162"
34.3,1101, 99/11/08,+0.40,34.45,33.9,34.0,"2,822","389,488,429","11,396,787"
34.1,1101, 99/11/09,-0.20,34.5,34.0,34.4,"1,577","127,881,324","3,742,638"
34.2,1101, 99/11/10,+0.10,34.5,34.05,34.3,"2,224","231,152,809","6,737,348"
33.8,1101, 99/11/11,-0.40,34.3,33.65,34.2,"2,184","196,524,152","5,800,652"
33.2,1101, 99/11/12,-0.60,33.6,32.85,33.5,"3,407","537,098,549","16,228,164"
32.25,1101, 99/11/15,-0.95,33.15,32.0,33.15,"3,416","368,719,179","11,404,637"
32.4,1101, 99/11/16,+0.15,32.4,31.6,32.3,"4,219","508,085,515","15,884,922"
32.2,1101, 99/11/17,-0.20,32.35,32.0,32.0,"1,574","143,448,247","4,467,508"
32.15,1101, 99/11/18,-0.05,32.4,32.0,32.2,"1,336","137,854,200","4,297,407"
31.9,1101, 99/11/19,-0.25,32.45,31.75,32.4,"2,587","322,370,504","10,061,308"
32.15,1101, 99/11/22,+0.25,32.4,32.05,32.2,"1,734","171,761,429","5,327,986"
31.65,1101, 99/11/23,-0.50,32.2,31.5,32.1,"2,579","358,320,436","11,265,618"
30.95,1101, 99/11/24,-0.70,31.6,30.6,31.45,"4,157","471,917,903","15,182,308"
31.45,1101, 99/11/25,+0.50,31.45,30.5,30.7,"3,157","370,476,484","11,981,431"
30.9,1101, 99/11/26,X0.00,31.2,30.9,31.15,"2,647","293,182,907","9,467,373"
31.0,1101, 99/11/29,+0.10,31.4,30.95,31.4,"1,874","233,961,952","7,523,816"
31.35,1101, 99/11/30,+0.35,31.5,31.0,31.3,"3,205","377,034,977","12,092,258"
33.45,1101, 99/10/01,0.05,33.55,32.9,33.3,"1,883","224,366,665","6,744,851"
33.3,1101, 99/10/04,-0.15,33.75,33.25,33.4,"2,695","312,259,688","9,317,895"
33.25,1101, 99/10/05,-0.05,33.3,32.85,33.2,"2,214","268,611,034","8,116,165"
34.05,1101, 99/10/06,0.8,34.1,33.3,33.4,"5,922","734,026,699","21,720,861"
34.9,1101, 99/10/07,0.85,35.2,33.7,34.1,"7,786","1,000,281,872","28,838,631"
34.35,1101, 99/10/08,-0.55,34.75,33.75,34.5,"5,459","896,000,102","26,121,904"
33.8,1101, 99/10/11,-0.55,34.8,33.7,34.45,"4,227","501,933,005","14,702,170"
33.45,1101, 99/10/12,-0.35,34.0,33.4,33.95,"4,672","335,843,025","9,986,694"
33.5,1101, 99/10/13,0.05,33.9,33.35,33.55,"2,873","482,524,830","14,396,464"
34.2,1101, 99/10/14,0.7,34.5,33.85,34.0,"4,075","542,647,007","15,901,409"
33.75,1101, 99/10/15,-0.45,34.5,33.65,34.5,"1,748","186,184,686","5,477,944"
33.3,1101, 99/10/18,-0.45,33.85,32.95,33.75,"2,098","248,171,551","7,461,776"
32.6,1101, 99/10/19,-0.7,33.3,32.5,33.3,"3,228","272,760,840","8,329,991"
